0	32	0
1	1286	0.001
2	1365	0
3	1159	0.001
4	1325	0
5	1305	0.001
6	1228	0.001
7	1278	0
8	1223	0.001
9	1291	0.001
10	1151	0
11	1680	0.001
12	1729	0.001
13	1557	0.001
14	1439	0.001
15	1502	0.002
16	1453	0.001
17	1562	0.001
18	1609	0.001
19	1647	0.001
20	1653	0.001
21	2410	0.002
22	2150	0.002
23	2411	0.003
24	2262	0.002
25	2397	0.002
26	2349	0.002
27	2362	0.003
28	2249	0.003
29	2320	0.003
30	2277	0.002
31	2733	0.009
32	2843	0.007
33	2640	0.008
34	2782	0.008
35	2868	0.008
36	2850	0.008
37	2758	0.009
38	2721	0.009
39	2576	0.008
40	2790	0.007
41	3135	0.018
42	3032	0.016
43	2986	0.016
44	3198	0.015
45	3160	0.019
46	3178	0.018
47	3277	0.023
48	3123	0.019
49	3002	0.016
50	3257	0.018
51	4082	0.039
52	3921	0.033
53	3927	0.037
54	3969	0.032
55	3835	0.035
56	3914	0.034
57	3952	0.044
58	3938	0.035
59	3952	0.04
60	4079	0.035
61	5519	0.063
62	5348	0.06
63	5219	0.061
64	5023	0.061
65	5266	0.061
66	5139	0.06
67	5259	0.063
68	5120	0.059
69	5489	0.058
70	5341	0.063
71	5846	0.119
72	5453	0.12
73	5824	0.122
74	5929	0.12
75	5679	0.121
76	5375	0.118
77	5704	0.12
78	5760	0.124
79	6032	0.121
80	5918	0.121
81	6541	0.242
82	6523	0.239
83	6639	0.243
84	6557	0.239
85	6695	0.246
86	6664	0.242
87	6632	0.242
88	6739	0.24
89	6677	0.239
90	6677	0.241
91	10942	0.94
92	10716	0.937
93	11025	0.935
94	11057	0.932
95	10645	0.937
96	10458	0.932
97	10989	0.928
98	10829	0.924
99	10574	0.924
100	10807	0.938
101	11594	1.862
102	11675	1.856
103	11852	1.842
104	11803	1.851
105	11685	1.866
106	11629	1.857
107	11833	1.856
108	11913	1.864
109	11673	1.854
110	11869	1.897
111	26670	28.121
112	27232	28.492
113	26848	28.066
114	27055	28.111
115	26727	28.012
116	26992	28.081
117	26797	28.129
118	27138	28.246
119	26631	28.038
120	26984	28.138
